id_plano_acao,id_programa,Total Plano de Ação,Situação Plano de Ação,inicio_vigencia_plano_acao,fim_vigencia_plano_acao,sigla_unidade_descentralizada,unidade_descentralizada,sigla_unidade_responsavel_execucao,unidade_responsavel_execucao,objeto_plano_acao,Ano,vl_beneficiario_especifico,sq_instrumento,aa_instrumento
2664,2479,450000,APROVADO,2024-04-29,2024-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"Atividades preparatórias visando desenvolver, fabricar, testar, lançar e comissionar um satélite de sensoriamento remoto com o uso de carga útil SAR (Radar de Abertura Sintética) em cooperação com a República Popular da China.",2024,450000,958863,2024.0
4214,3853,470000,APROVADO,2025-06-10,2026-05-31,UFMA,Fundação Universidade Federal do Maranhão,UFMA,Fundação Universidade Federal do Maranhão,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de 
pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na 
coleta de dados ambientais em campo por meio do Programa GLOBE.",2025,470000,975315,2025.0
2580,2354,2600000,APROVADO,2024-03-06,2026-01-31,DIRINFRA,Diretoria de Infraestrutura da Aeronáutica,DIRINFRA,Diretoria de Infraestrutura da Aeronáutica,"Cumprimento de obrigações relativas às condicionantes da Licença de Operação Corretiva expedida pelo Ibama ao CLA, sob responsabilidade do MCTI devido à inventariança da extinta Alcântara Cyclone Space (ACS).",2024,2600000,956765,2024.0
2527,2309,16120000,APROVADO,2024-01-29,2027-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"O presente Termo de Execução Descentralizada (TED) tem os seguintes objetos:

1) PO 000A - Realizar pesquisa científica e desenvolvimento tecnológico em sensoriamento remoto e geoinformática, gerando conhecimento e inovação para a extração de informações e análise espaço-temporal de dados obtidos por satélites de observação da Terra;
2) PO 0003 - Apoiar e desenvolver tecnologias críticas, produtos e processos inovadores, visando atender a missões espaciais e suas aplicações, com o intuito de promover o avanço da área espacial e integrá-la ao setor produtivo nacional; e
3) PO 0009 - Desenvolver pesquisa, tecnologia e instrumentação espacial e de solo para as ciências espaciais (conjunto formado por astrofísica, heliofísica, ciências planetárias e aeronomia).",2024,16120000,955656,2024.0
4867,4245,1432298.43,APROVADO,2025-10-28,2028-04-28,UFSC,Universidade Federal de Santa Catarina,UFSC,Universidade Federal de Santa Catarina,"O presente Plano de Trabalho tem como objetivo lançar, comissionar e operar o satélite Catarina A1.",2025,1432298.43,984447,2025.0
2573,2356,399600,APROVADO,2024-03-30,2025-02-28,UFMA,Fundação Universidade Federal do Maranhão,UFMA,Fundação Universidade Federal do Maranhão,"Promover, no Estado do Maranhão, a capacitação de jovens cientistas cidadãos no desenvolvimento de pesquisas científicas sobre o meio ambiente, focando no uso de aplicação de tecnologias espaciais e na coleta de dados ambientais em campo por meio do Programa GLOBE.",2024,399600,956778,2024.0
2520,2278,1645289,APROVADO,2024-01-01,2025-06-30,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,"Manutenção do Funcionamento e a Atualização da Infraestrutura de Apoio a Veículos Espaciais do IAE, visando ao suporte a projetos e atividades de espaço.",2024,1645289,956439,2024.0
110,138,745750.53,APROVADO,2022-04-01,2024-04-30,IFRN,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte",IFRN,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte","Celebração de termo de execução descentralizada - TED, com vistas à operacionalização das atividades do CVT-Espacial e a manutenção do Programa de Educação Continuada do Centro Vocacional Tecnológico Espacial (CVT-E), para o biênio de 2022 e 2023.
	O  Instituto Federal de Educação Ciência e Tecnologia do Rio Grande do Norte -IFRN, através do seu campus  Parnamirim- RN, com recursos do TED a ser celebrado com a AEB, providenciará a execução das atividades do CVT-Espacial, através do gerenciamento da FUNCERN (Fundação de apoio a Educação e ao Desenvolvimento Tecnológico do Rio Grande do Norte). A contratação da referida fundação está fundamentada no Inciso XIII do Artigo n° 24 da Lei 8.666 de 1993.",2022,745750.53,928400,2022.0
2568,2358,487000,APROVADO,2024-01-01,2025-06-30,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,"O VLM-1 tem como objetivo colocar um microssatélite com massa igual ou superior a 30 kg em uma órbita terrestre baixa (LEO), igual ou superior a 300 km e de baixa inclinação (referência: “DDM - Documento Definição de Missão – Projeto VLM-1”, de 15 de agosto de 2018). Este veículo está sendo desenvolvido em parceria com o Centro Aeroespacial Alemão (DLR), visando atender às necessidades tanto do Programa Espacial Brasileiro quanto do Alemão, com o objetivo de entrar em um nicho de mercado pouco explorado, o de veículos específicos para o lançamento de microssatélites, segmento este em crescimento devido ao grande número de novas aplicações científicas e operacionais.",2024,487000,960578,2024.0
5631,5072,659701,ENVIADO_ANALISE,2026-02-01,2027-06-30,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço," Promover apoio à Campanha de Lançamento, bem como às atividades fins, acordos, parcerias e infraestrutura de meios de solo relacionadas a veículos suborbitais",2026,659701,,
2687,2466,38617872.12,APROVADO,2024-05-06,2024-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,Apoio ao desenvolvimento de sistemas espaciais que utilizem como base plataformas multimissão (PMM).,2024,38617872.12,958862,2024.0
212,163,828923,APROVADO,2022-04-25,2023-06-30,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,IAE,Instituto de Aeronáutica e Espaço,"Promover apoio às Campanhas de Lançamento, no Brasil e no exterior, bem como às atividades fins no 
âmbito de projetos relacionados a veículos suborbitais.",2022,828923,929339,2022.0
2521,2250,74432000,APROVADO,2024-01-22,2027-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"O presente Termo de Execução Descentralizada (TED) tem os seguintes objetos:

1) PO 0001 - Manutenção e atualização da infraestrutura espacial do INPE para rastreio, controle, recepção, processamento e distribuição de dados; manutenção e ampliação da capacidade para armazenamento e distribuição de dados de satélites e produtos de valor agregado;

2) PO 0005 - Manter operacional e atualizado o Laboratório de Integração e Testes - LIT do Instituto Nacional de Pesquisas Espaciais - INPE para a realização das atividades de montagem, integração e testes de satélites e outros sistemas espaciais previstos no Programa Nacional de Atividades Espaciais – PNAE;

3) PO 0007 - Manutenção e atualização da infraestrutura dos laboratórios de sensores, de plasma, de materiais, de combustão e propulsão, e de computação aplicada;

4) PO 0008 - Monitorar, modelar e difundir informações e alertas do Clima Espacial.
- Monitorar as tempestades solares (sensores em solo e embarcados);
- Modelar a dinâmica das tempestades, choques e acoplamentos com a magnetosfera interna terrestre (modelo numéricos de previsão).
- Gerar índices de impacto para difundir informações e alertas (padronizações e alertas); e

5) PO 0009 - Manutenção e atualização de infraestrutura computacional e de armazenamento para curadoria e disponibilização de dados espaciais, particularmente dados e imagens de satélites, para permitir o uso em aplicações e geração de produtos derivados.",2024,74432000,956435,2024.0
2485,2266,13978159,REJEITADO,2024-01-08,2024-12-31,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,"Desenvolvimento, atualização e manutenção das aplicações e infraestruturas espaciais para o atendimento de demandas quali?cadas do Estado e da sociedade, especialmente para observação do território, meteorologia e aplicações científicas, tais como laboratórios e centros de lançamento, incluindo as infraestruturas necessárias à exploração dos dados das missões, em benefício do funcionamento e/ou atualização da Infraestrutura de apoio a Veículos Espaciais.
Pretende-se com a execução desse objeto o desenvolvimento, atualização e manutenção das aplicações e infraestruturas espaciais para o atendimento de demandas quali?cadas do Estado e da sociedade, especialmente para observação do território, meteorologia e aplicações cientí?cas, tais como laboratórios e centros de lançamento, incluindo as infraestruturas necessárias à exploração dos dados das missões.
Este Plano de Trabalho objetiva demonstrar as necessidades do DCTA, nos aspectos relacionados à manutenção e atualização da infraestrutura de apoio para as atividades espaciais, de forma a atender a demanda de pesquisa e desenvolvimento tecnológico que o país anseia. Também está relacionado ao apoio aos sistemas operacionais para manutenção do Sistema de Lançamento do CLA.
Manter a operacionalidade do Centro de Lançamento da Barreira do Inferno, para atender aos lançamentos de veículos espaciais no território nacional, promovendo a adequação e a manutenção dos sistemas e da infraestrutura operacional dedicada ao desenvolvimento e lançamento de veículos espaciais, contribuindo para a execução do Programa Nacional de Atividades Espaciais (PNAE).
O Plano Orçamentário 0004 da ação 21AI apoia a promoção da adequação e da manutenção dos sistemas e da infraestrutura operacional dedicada ao desenvolvimento e lançamento de veículos espaciais, em benefício do funcionamento e/ou atualização da Infraestrutura de apoio a Veículos Espaciais, compreendendo as áreas técnicas e operacionais dos institutos de pesquisa e desenvolvimento da área espacial e dos Centros de Lançamento de Alcântara (CLA) e da Barreira do Inferno (CLBI). A execução dos recursos deste plano orçamentário ocorre por meio de Termo de Execução Descentralizada celebrado com o Departamento Geral de Tecnologia Aeroespacial (DCTA) com aplicação direta no Instituto de Fomento e Coordenação Industrial (IFI), o qual custeia atividades de atualização e manutenção do funcionamento do Sistema de Metrologia, Normalização e Certificação para a área espacial, incluindo a capacitação nesses temas. Esta atuação se dá, prioritariamente, pela verificação dos requisitos estabelecidos para a qualidade, segurança e proteção do meio ambiente para as atividades espaciais no País, e estímulo ao envolvimento da indústria nacional e dos demais participantes do Sistema Nacional de Desenvolvimento das Atividades Espaciais (SINDAE) no processo da qualidade, segurança e avaliação de conformidade, no âmbito dos projetos do Programa Nacional de Atividades Espaciais (PNAE).",2024,13978159,,
2567,2359,2941758,APROVADO,2024-01-01,2025-06-30,IAE,Instituto de Aeronáutica e Espaço,IAE,Instituto de Aeronáutica e Espaço,". Fase 0 do desenvolvimento de um protótipo de voo de um Motor Foguete a Propelente Líquido de 25 kN (MFPL L25) de empuxo no vácuo. 

O MFPL L25  tem como objetivo consolidar a tecnologia de propulsão líquida no Brasil e substituir o Motor Sólido S44 no terceiro estágio do Veículo Lançador de Microssatélites (VLM-1). Essa mudança permitirá uma maior precisão de inserção de cargas úteis em órbita, além de um aumento na capacidade.",2024,2941758,956441,2024.0
187,201,15020701,APROVADO,2022-06-01,2022-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"PO 0001 - Manutenção e atualização da infraestrutura espacial do INPE para rastreio, controle, recepção, processamento e distribuição de dados; manutenção e ampliação da capacidade para armazenamento e distribuição de dados de satélites e produtos de valor agregado.
PO 0005 - Manter operacional e atualizado o Laboratório de Integração e Testes (LIT) do Instituto Nacional de Pesquisas Espaciais (INPE) para a realização das atividades de montagem, integração e testes de satélites e outros sistemas espaciais previstos no Programa Nacional de Atividades Espaciais (PNAE), bem como a prestação de serviços técnicos especializados na qualificação de produtos industriais , compatíveis com os objetivos da Lei de Inovação (Lei 10.973/2004), nas atividades voltadas à inovação e à pesquisa científica e tecnológica no ambiente produtivo, visando, entre outros objetivos, à maior competitividade das empresas do setor espacial.
PO 0008 - Monitorar, modelar e difundir informações e alertas do Clima Espacial.
•	Monitorar as tempestades solares (sensores em solo e embarcados);
•	Modelar a dinâmica das tempestades, choques e acoplamentos com a magnetosfera interna terrestre (modelo numéricos de previsão).
•	Gerar índices de impacto para difundir informações e alertas (padronizações e alertas)",2022,15020701,930257,2022.0
2819,2655,59000,APROVADO,2024-06-14,2027-06-14,UFRN,Universidade Federal do Rio Grande do Norte,UFRN,Universidade Federal do Rio Grande do Norte,"Conectividade lógica entre a Rede Corporativa da AEB e a Internet, através do PoP-RN, e conectividade física entre a Rede Corporativa da AEB e a rede do PoP-RN, através de um enlace dedicado da Rede GigaNatal.",2024,59000,965381,2024.0
2775,2539,600000,APROVADO,2024-06-03,2026-12-31,UFT,Fundação Universidade Federal do Tocantins,UFT,Fundação Universidade Federal do Tocantins,"Viabilizar a realização de atividades com balões estratosféricos, motivados pela parceria internacional Brasil x França, na região de Palmas/TO, em parceria com a UFT.",2024,600000,960782,2024.0
2646,2465,400000,APROVADO,2024-04-22,2027-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"Projetos de pesquisa e desenvolvimento em Subsistemas Eletrônicos e Mecânicos para plataformas de serviço, cargas úteis de satélites e sistemas correlatos.",2024,400000,958441,2024.0
2742,2494,977198.4,APROVADO,2024-06-17,2026-06-17,ITA,Instituto Tecnológico de Aeronáutica,ITA,Instituto Tecnológico de Aeronáutica,"O presente instrumento tem por objeto o Desenvolvimento de atividades de ensino, divulgação e formação de professores da educação básica nas áreas de STEAM2D adaptada para o contexto das atividades espaciais com o intuito de capacitar docentes e estudantes da Educação Básica do Ensino Fundamental séries finais da rede pública por meio de oficinas baseadas em STEAM2D (Science – Technology – Engineering – Art – Mathematics – Manufacture and Design) com ênfase na temática espacial, disseminando conhecimentos sobre exploração espacial, astronáutica, tecnologias e aplicações espaciais,
astronomia, dentre outros. Para apoiar este propósito também serão capacitados estudantes de nível superior do ITA que atuarão como mentores(as) das oficinas em dez escolas públicas parceiras na cidade de São José dos Campos, São Paulo, tendo por objetivos específicos:
1.    Desenvolvimento de metodologia de ensino de Ciências com foco nas Tecnologias Espaciais aplicando os conceitos STEAM2D em um habitat lunar simulado escolar (HaLu)* com a produção de material didático e protótipo ;
2.    Capacitar estudantes de graduação e pós-graduação do ITA em conteúdos STEM2D aplicados às áreas espaciais para aplicação de oficinas na educação básica;
3.    Oferecer para escolas de Ensino Fundamental Séries Finais da Educação Básica da Rede Pública de Ensino de São José dos Campos oficinas de formação para docentes em STEAM2D aplicadas à área espacial;
4.    Oferecer oficinas de aprofundamento à docentes da Educação Básica para a aplicação
dos conhecimentos dos temas das oficinas em suas atividades didáticas cotidianas e para que eles atuem como desenvolvedores de novas ações educacionais em STEM2D aplicadas à área espacial;
5.    Orientar estudantes do ensino médio ou fundamental em atividades de divulgação científica ou iniciação científica jr em assuntos correlatos à área espacial e oferecer mentoria a alunos do Ensino Médio  com alunos de graduação/pós-graduação do ITA para discussão de planos de vida e carreira em STEM2D;
6.    Oferecer atividades de divulgação científica nas áreas de STEM2D aplicadas à área espacial em eventos do Ciência no Parque (Parque Vicentina Aranha, SJC) e nas redes sociais para o público;
* O Habitat Lunar Simulado Escolar – HaLu, a ser desenvolvido pelo presente projeto, será um ambiente a ser montado em uma escola ou em local de fácil acesso das comunidades escolares para o desenvolvimento de atividades simulando uma missão análoga. O “HaLu” será um ambiente fechado (tipo tenda iglu) onde haverá um conjunto de experimentos relacionados ao cultivo de plantas para fins alimentares em ambiente simulado lunar e poderá abrigar outros experimentos. No ambiente serão instalados equipamentos para medidas ambientais (termômetros, pluviômetros, sensores de O2 e CO2, sensores de luminosidade etc.) e instrumentação para os experimentos (circulação de solução nutritiva para plantas, controladores de fotoperíodo, irrigadores, exaustores, medidores de radiação etc.).",2024,977198.4,963321,2024.0
2714,2538,595876,APROVADO,2024-05-15,2024-12-31,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,"Implantação do conjunto de infraestrutura necessária para dar suporte às atividades de lançamento de artefatos espaciais a partir do território nacional. Isto engloba os equipamentos, sistemas e demais itens de apoio logístico, bem como as demais infraestruturas remotas de localização e recebimento de dados de telemetria. A participação do CLBI é fundamental para acompanhamento dos eventos críticos que acontecem após o veículo lançador estar fora da visada dos equipamentos de Alcântara. As infraestruturas implantadas permitirão a realização de atividades de lançamento previstas no PNAE, bem como a viabilização das atividades de lançamento não-governamentais, com participação da iniciativa privada.",2024,595876,961768,2024.0
95,84,5828004,APROVADO,2022-04-01,2023-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"PO 000A - Pesquisar e desenvolver metodologias e tecnologias, e capacitar recursos humanos para a extração de informações a partir de dados de satélites de observação da terra, incluindo geotecnologias baseadas em software aberto, com a disponibilização ao usuário final.
PO 0003 - Desenvolver tecnologias, produtos e processos estratégicos para as missões espaciais e suas aplicações com o intuito de promover o avanço da área espacial e integrá-la ao setor produtivo nacional.
PO 0009 - Desenvolver pesquisa e instrumentação para as ciências espaciais (conjunto formado por astrofísica, heliofísica, ciências planetárias e aeronomia).",2022,5828004,928333,2022.0
198,215,900000,APROVADO,2022-05-06,2023-06-30,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,CLBI,Centro de Lançamento da Barreira do Inferno,"Manter a operacionalidade do Centro de Lançamento da Barreira do Inferno, para atender aos lançamentos de veículos espaciais no território nacional, contribuindo para a execução do Programa Nacional de Atividades Espaciais (PNAE).",2022,900000,929303,2022.0
49,28,15020701,REJEITADO,2022-03-31,2022-12-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,"PO 0001 - Manutenção e atualização da infraestrutura espacial do INPE para rastreio, controle, recepção, processamento e distribuição de dados; manutenção e ampliação da capacidade para armazenamento e distribuição de dados de satélites e produtos de valor agregado.
PO 0005 - Manter operacional e atualizado o Laboratório de Integração e Testes (LIT) do Instituto Nacional de Pesquisas Espaciais (INPE) para a realização das atividades de montagem, integração e testes de satélites e outros sistemas espaciais previstos no Programa Nacional de Atividades Espaciais (PNAE), bem como a prestação de serviços técnicos especializados na qualificação de produtos industriais , compatíveis com os objetivos da Lei de Inovação (Lei 10.973/2004), nas atividades voltadas à inovação e à pesquisa científica e tecnológica no ambiente produtivo, visando, entre outros objetivos, à maior competitividade das empresas do setor espacial.
PO 0008 - Monitorar, modelar e difundir informações e alertas do Clima Espacial.
•	Monitorar as tempestades solares (sensores em solo e embarcados);
•	Modelar a dinâmica das tempestades, choques e acoplamentos com a magnetosfera interna terrestre (modelo numéricos de previsão).
•	Gerar índices de impacto para difundir informações e alertas (padronizações e alertas)",2022,15020701,926266,2022.0
199,216,10900000,APROVADO,2022-05-06,2023-04-07,DCTA,Departamento de Ciência e Tecnologia Aeroespacial,CLA,Centro de Lançamento de Alcântara,"Manter a Operacionalidade do Centro de Lançamento de Alcântara, , para atender aos lançamentos de veículos espaciais no território nacional, contribuindo para a execução do Programa nacional de Atividades Espaciais (PNAE).",2022,10900000,929239,2022.0
120,26,10900000,REJEITADO,2022-04-08,2023-04-07,CLA,Centro de Lançamento de Alcântara,CLA,Centro de Lançamento de Alcântara,"Manter a operacionalidade do Centro de Lançamento de Alcântara, para atender aos lançamentos de veículos espaciais no território nacional, contribuindo para a execução do Programa Nacional de Atividades Espaciais (PNAE).",2022,10900000,,
111,139,800000,EM ELABORACAO,2022-08-01,2024-07-31,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,INPE-MCT,Instituto Nacional de Pesquisas Espaciais,Estudos e análise de viabilidade de missões espaciais.,2022,800000,,
